Key,Value
MainMenu.Help.Sections.Rules.Content,"Каждую станцию можно исследовать только ОДИН раз.

Фаза исследования заканчивается, когда весь отправленный экипаж вернётся обратно, либо погибнет.

В верхней части экрана вы можете видеть количество <b>Сока</b>. Следите за этим показателем, иначе ваши люди погибнут от радиации."
MainMenu.Help.Sections.Controls.Title,"Управление"
MainMenu.Help.Sections.Controls.Content,"F4 – Вернуться в меню (DEBUG)
W/A/S/D – Перемещение камеры
Правая кнопка мыши – Перемещение/взаимодействие
Левая кнопка мыши – Выбор юнита (кликнуть/выделить)
Колесо мыши – Приблизить/отдалить
TAB – Замедление времени (увеличивает расход Сока)
I / F – Открыть инвентарь
Q – Переключение между юнитами
R – Выделить всех членов экипажа
1–9 – Выбрать конкретного бойца
Пробел – Остановить движение
E – Переместить камеру на выбранного юнита
Q – Переключение навыков выбранного юнита
<i>Не забудьте вооружить экипаж перед высадкой на станцию!</i>"

## Settings view
MainMenu.Settings.Title,"Настройки"
MainMenu.Settings.Sections.General.Title,"Общее"
MainMenu.Settings.Sections.General.Difficulty,"Сложность"
MainMenu.Settings.Sections.General.Language,"Язык"
MainMenu.Settings.Sections.General.FallbackToDefaultLanguage,"Сменить на язык по умолчанию"
MainMenu.Settings.Sections.General.UsePixelArtFont,"*TODO* Pixel Art Font"
MainMenu.Settings.Sections.General.DisplayTutorial,"Показать обучение"
MainMenu.Settings.Sections.General.ShowHitChances,"*TODO* Show Hit Chances"
MainMenu.Settings.Sections.General.FriendlyFire,"*TODO* Friendly Fire"
MainMenu.Settings.Sections.Graphics.Title,"Графика"
MainMenu.Settings.Sections.Graphics.PixelPerfect,"PixelPerfect"
MainMenu.Settings.Sections.Graphics.CameraShake,"Тряска камеры"
MainMenu.Settings.Sections.Graphics.CoolThing,"Крутая штука"
MainMenu.Settings.Sections.Audio.Title,"Звук"
MainMenu.Settings.Sections.Audio.MasterVolume,"Общий"
MainMenu.Settings.Sections.Audio.MusicVolume,"Музыка"
MainMenu.Settings.Sections.Audio.SFXVolume,"Эффекты"
MainMenu.Settings.Sections.Audio.UIVolume,"Интерфейс"
MainMenu.Settings.Sections.Audio.SpatialAudio,"Пространственное Аудио"

# Loading Screen
Loading.Progress,"{0}%"

# Level Selector

## Resources Display
LevelSelector.ResourcesDisplay.Fuel,"Топливо: {0}u"
LevelSelector.ResourcesDisplay.Juice,"Сок: {0}u"
LevelSelector.ResourcesDisplay.Money,"{0}$"

## Post Game Summary
PostGameSummary.AutoSell,"{0}: {1}$"
PostGameSummary.TotalProfit,"Итого: {0}$"

## Upgrader
Upgrader.Reforge,"Перековка"
Upgrader.ReforgeTooltip,"Перековать предмет, чтобы изменить его параметры."
Upgrader.ReforgeCost,"{0}$"
Upgrader.ReforgeSuccess,"Перековано успешно!"
Upgrader.ReforgeFailure,"Перековать неудалось!"

Upgrader.Upgrade,"Улучшить"
Upgrader.UpgradeTooltip,"Улучшить выбранный предмет
25% — 2 характеристики улучшены
50% — 2 характеристики улучшены, 1 ухудшена
25% — 1 характеристика улучшена, 1 ухудшена"
Upgrader.UpgradeCost,"{0}$"
Upgrader.UpgradeSuccess,"*TODO* Upgrade Successful!"
Upgrader.UpgradeFailure,"*TODO* Upgrade Failed!"

Upgrader.Scrap,"Разобрать"
Upgrader.ScrapTooltip,"Разобрать выбранное оружие"
Upgrader.ScrapValue,"{0}$"

# Ship Inventory
ShipInventory.NoItemSelected,"Предмет не выбран."

# Misc
MoneySymbol,"$"

NOT-FOUND-NOT-FOUND-NOT-FOUND-NOT-FOUND-Upgrade.UpgradeSuccess,Улучшение успешно!
NOT-FOUND-NOT-FOUND-NOT-FOUND-NOT-FOUND-Upgrade.UpgradeFailure,Улучшение неудалось!
