Key,Value
MainMenu.Settings.Sections.General.ShowHitChances,Show Hit Chances
MainMenu.Settings.Sections.General.FriendlyFire,Friendly Fire
MainMenu.Settings.Sections.General.UseJuiceMechanic,Use Juice Mechanic
MainMenu.Settings.Sections.Graphics.Title,Graphics
MainMenu.Settings.Sections.Visual.Title,Visual
MainMenu.Settings.Sections.Graphics.PixelPerfect,PixelPerfect
MainMenu.Settings.Sections.Graphics.CameraShake,Camera Shake
MainMenu.Settings.Sections.Graphics.CoolThing,Cool Thing
MainMenu.Settings.Sections.Audio.Title,Audio
MainMenu.Settings.Sections.Audio.MasterVolume,Master
MainMenu.Settings.Sections.Audio.MusicVolume,Music
MainMenu.Settings.Sections.Audio.SFXVolume,SFX
MainMenu.Settings.Sections.Audio.UIVolume,UI
MainMenu.Settings.Sections.Audio.SpatialAudio,Spatial Audio

# Difficulty Names
MainMenu.Difficulty.Easy.Name,Easy
MainMenu.Difficulty.Easy.Desc,"- Enemies have less health
- Less enemies spawn
- Friendly fire is disabled
- The juice mechanic is disabled, allowing you to stay in each station however long you want"
MainMenu.Difficulty.Normal.Name,Normal
MainMenu.Difficulty.Normal.Desc,"- Enemies have normal health
- Standard enemy spawns
- Friendly fire is disabled
- The juice mechanic is enabled, forcing you to manage your time in each station"
MainMenu.Difficulty.Hard.Name,Hard
MainMenu.Difficulty.Hard.Desc,"- Enemies have more health
- Increased enemy spawns
- As friendly fire is enabled, you will need to position your units with much care
- The juice mechanic is enabled, forcing you to manage your time in each station"

# Loading Screen
Loading.Progress,{0}%

# Level Selector

## Resources Display
LevelSelector.ResourcesDisplay.Fuel,Fuel: {0}u
LevelSelector.ResourcesDisplay.Juice,Juice: {0}u
LevelSelector.ResourcesDisplay.Money,{0}$

## Post Game Summary
PostGameSummary.AutoSell,{0}: {1}$
PostGameSummary.TotalProfit,Total profit from the expedition: {0}$

## Upgrader
Upgrader.Reforge,Reforge
Upgrader.ReforgeTooltip,"Reroll all upgrades and downgrades
25% - All stats rerolled 1 positive stat added, 1 negative stat removed
50% - All stats rerolled
25% - All Stats rerolled, 1 positive stat removed"
Upgrader.ReforgeCost,{0}$
Upgrader.ReforgeSuccess,Reforge Successful!
Upgrader.ReforgeFailure,Reforge Failed!

Upgrader.Upgrade,Upgrade
Upgrader.UpgradeTooltip,"Upgrade Selected Item
25% - 2 stats upgraded
50% - 2 stats upgraded, 1 downgraded
25% - 1 stat upgraded, 1 downgraded"
Upgrader.UpgradeCost,{0}$
Upgrader.UpgradeSuccess,Upgrade Successful!
Upgrader.UpgradeFailure,Upgrade Failed!
                         
Upgrader.Scrap,Scrap
Upgrader.ScrapTooltip,Scrap selected weapon
Upgrader.ScrapValue,{0}$

# Ship Inventory
ShipInventory.NoItemSelected,No item selected

# Misc
MoneySymbol,$

